2th_deg;intensity
0.5747028;9.84592
0.5766811;9.887177
0.5786594;9.941492
0.5806377;10.00602
0.582616;9.956575
0.5845944;10.05753
0.5865727;10.12471
0.588551;10.10471
0.5905293;10.08732
0.5925077;9.997053
0.594486;10.00074
0.5964643;10.09293
0.5984426;10.10381
0.6004209;10.11613
0.6023993;10.09437
0.6043776;10.21288
0.6063559;10.19864
0.6083342;10.11017
0.6103126;10.04165
0.6122909;10.12703
0.6142692;10.27665
0.6162475;10.27912
0.6182259;10.2135
0.6202042;10.19428
0.6221825;10.22635
0.6241608;10.27035
0.6261391;10.34995
0.6281175;10.42035
0.6300958;10.42588
0.6320741;10.43542
0.6340524;10.3533
0.6360308;10.38741
0.6380091;10.44914
0.6399874;10.51609
0.6419657;10.6522
0.643944;10.77549
0.6459224;10.77464
0.6479007;10.70855
0.649879;10.62694
0.6518573;10.70193
0.6538357;10.69676
0.655814;10.68976
0.6577923;10.59653
0.6597706;10.75201
0.661749;10.84205
0.6637273;10.85493
0.6657056;10.8063
0.6676839;10.78596
0.6696622;10.78764
0.6716406;10.88706
0.6736189;10.89451
0.6755972;10.86469
0.6775755;10.91455
0.6795539;10.92169
0.6815322;10.99207
0.6835105;11.12629
0.6854888;11.20662
0.6874671;11.22296
0.6894455;11.17887
0.6914238;11.16496
0.6934021;11.20497
0.6953804;11.15782
0.6973588;11.21588
0.6993371;11.23147
0.7013154;11.33904
0.7032937;11.33305
0.7052721;11.37015
0.7072504;11.39409
0.7092287;11.50347
0.711207;11.46501
0.7131853;11.36426
0.7151637;11.36194
0.717142;11.43537
0.7191203;11.59486
0.7210986;11.66706
0.723077;11.61541
0.7250553;11.48263
0.7270336;11.56857
0.7290119;11.79664
0.7309902;11.90658
0.7329686;11.90081
0.7349469;11.75056
0.7369252;11.72939
0.7389035;11.78799
0.7408819;11.95497
0.7428602;12.04973
0.7448385;12.07834
0.7468168;11.96417
0.7487951;11.94662
0.7507735;12.00308
0.7527518;12.07679
0.7547301;12.19949
0.7567084;12.24897
0.7586868;12.19897
0.7606651;12.22479
0.7626434;12.15118
0.7646217;12.24805
0.7666001;12.26498
0.7685784;12.27851
0.7705567;12.28988
0.772535;12.3275
0.7745133;12.37286
0.7764917;12.36259
0.77847;12.41377
0.7804483;12.57725
0.7824266;12.63324
0.784405;12.62439
0.7863833;12.55141
0.7883616;12.57634
0.7903399;12.63759
0.7923182;12.80882
0.7942966;12.91546
0.7962749;13.02093
0.7982532;12.9948
0.8002315;12.97894
0.8022099;12.90579
0.8041882;12.98388
0.8061665;13.0558
0.8081448;13.09221
0.8101232;13.08933
0.8121015;13.10148
0.8140798;13.18661
0.8160581;13.29898
0.8180364;13.39257
0.8200148;13.35799
0.8219931;13.39914
0.8239714;13.41087
0.8259497;13.43523
0.8279281;13.33219
0.8299064;13.29463
0.8318847;13.43242
0.833863;13.64258
0.8358413;13.68819
0.8378197;13.73026
0.839798;13.75504
0.8417763;13.7753
0.8437546;13.81457
0.845733;13.82217
0.8477113;13.80395
0.8496896;13.90173
0.8516679;13.98322
0.8536463;13.97689
0.8556246;13.89219
0.8576029;13.91738
0.8595812;13.93256
0.8615595;13.85344
0.8635379;13.77932
0.8655162;13.90319
0.8674945;14.06106
0.8694728;14.08418
0.8714512;14.11795
0.8734295;14.07423
0.8754078;14.11661
0.8773861;14.22782
0.8793644;14.38546
0.8813428;14.40694
0.8833211;14.2817
0.8852994;14.32712
0.8872777;14.47892
0.8892561;14.57392
0.8912344;14.51819
0.8932127;14.52651
0.895191;14.56404
0.8971694;14.68683
0.8991477;14.64686
0.901126;14.66082
0.9031043;14.63519
0.9050826;14.65134
0.907061;14.72575
0.9090393;14.87292
0.9110176;14.94833
0.9129959;14.9511
0.9149743;14.94943
0.9169526;14.90413
0.9189309;14.91174
0.9209092;15.01536
0.9228875;15.13485
0.9248659;15.31344
0.9268442;15.36954
0.9288225;15.29908
0.9308008;15.34524
0.9327792;15.49208
0.9347575;15.48173
0.9367358;15.43135
0.9387141;15.46513
0.9406925;15.52828
0.9426708;15.47067
0.9446491;15.52467
0.9466274;15.57891
0.9486057;15.59832
0.9505841;15.66603
0.9525624;15.7403
0.9545407;15.81334
0.956519;15.81792
0.9584974;15.76147
0.9604757;15.89336
0.962454;16.02215
0.9644323;16.00873
0.9664106;15.95238
0.968389;16.05119
0.9703673;16.12872
0.9723456;16.17441
0.9743239;16.11692
0.9763023;16.07639
0.9782806;16.09145
0.9802589;16.10643
0.9822372;16.18694
0.9842156;16.28601
0.9861939;16.30541
0.9881722;16.38634
0.9901505;16.30016
0.9921288;16.3724
0.9941072;16.5434
0.9960855;16.65088
0.9980638;16.58566
1.000042;16.4643
1.00202;16.40887
1.003999;16.37966
1.005977;16.50056
1.007955;16.66775
1.009934;16.61897
1.011912;16.62603
1.01389;16.7172
1.015869;16.77138
1.017847;16.82909
1.019825;16.88648
1.021804;16.84388
1.023782;16.91066
1.02576;16.94419
1.027739;16.8767
1.029717;16.77262
1.031695;16.7539
1.033674;16.84583
1.035652;17.02315
1.03763;17.23803
1.039609;17.4259
1.041587;17.33776
1.043565;17.1706
1.045544;17.19278
1.047522;17.40122
1.0495;17.35089
1.051479;17.31277
1.053457;17.38068
1.055435;17.45961
1.057413;17.41706
1.059392;17.47813
1.06137;17.34618
1.063348;17.19764
1.065327;17.21729
1.067305;17.40286
1.069283;17.43092
1.071262;17.59664
1.07324;17.71122
1.075218;17.78826
1.077197;17.67444
1.079175;17.57709
1.081153;17.70162
1.083132;17.81113
1.08511;17.84129
1.087088;17.96555
1.089067;17.95701
1.091045;18.05621
1.093023;18.12001
1.095002;18.02631
1.09698;17.7415
1.098958;17.64235
1.100937;17.71724
1.102915;17.96649
1.104893;18.09684
1.106872;18.06726
1.10885;18.01255
1.110828;18.11629
1.112807;18.23835
1.114785;18.35948
1.116763;18.49898
1.118741;18.52033
1.12072;18.45367
1.122698;18.3603
1.124676;18.25826
1.126655;18.26049
1.128633;18.3834
1.130611;18.44682
1.13259;18.5857
1.134568;18.47739
1.136546;18.58216
1.138525;18.6856
1.140503;18.76267
1.142481;18.68517
1.14446;18.65565
1.146438;18.7711
1.148416;18.75836
1.150395;18.7364
1.152373;18.78733
1.154351;18.76756
1.15633;18.62077
1.158308;18.4564
1.160286;18.56001
1.162265;18.83217
1.164243;18.97676
1.166221;19.00775
1.1682;19.03768
1.170178;18.91844
1.172156;19.02539
1.174135;19.04857
1.176113;19.05766
1.178091;18.9157
1.18007;18.90721
1.182048;19.04137
1.184026;19.12832
1.186004;19.2284
1.187983;19.274
1.189961;19.41105
1.191939;19.2905
1.193918;19.26765
1.195896;19.29696
1.197874;19.43123
1.199853;19.42557
1.201831;19.33198
1.203809;19.22746
1.205788;19.31582
1.207766;19.29066
1.209744;19.36525
1.211723;19.38717
1.213701;19.39245
1.215679;19.15307
1.217658;19.16321
1.219636;19.28815
1.221614;19.43496
1.223593;19.55274
1.225571;19.50981
1.227549;19.54999
1.229528;19.76713
1.231506;19.71012
1.233484;19.57235
1.235463;19.54544
1.237441;19.69552
1.239419;19.76016
1.241398;19.81121
1.243376;19.87449
1.245354;19.86084
1.247332;19.84334
1.249311;19.8451
1.251289;19.83303
1.253267;19.82344
1.255246;19.80138
1.257224;19.81277
1.259202;19.83566
1.261181;19.88895
1.263159;19.9767
1.265137;19.96039
1.267116;19.95973
1.269094;20.09194
1.271072;20.21984
1.273051;20.26604
1.275029;20.40846
1.277007;20.60969
1.278986;20.53678
1.280964;20.49427
1.282942;20.44627
1.284921;20.46617
1.286899;20.52072
1.288877;20.6301
1.290856;20.7505
1.292834;20.80588
1.294812;20.88516
1.296791;20.74086
1.298769;20.58404
1.300747;20.67615
1.302726;20.86834
1.304704;21.00967
1.306682;20.91505
1.30866;21.04733
1.310639;21.15005
1.312617;21.17677
1.314595;21.25769
1.316574;21.27568
1.318552;21.3008
1.32053;21.23002
1.322509;21.24068
1.324487;21.31601
1.326465;21.45605
1.328444;21.44976
1.330422;21.35418
1.3324;21.3837
1.334379;21.50372
1.336357;21.47105
1.338335;21.43504
1.340314;21.52241
1.342292;21.65198
1.34427;21.76539
1.346249;21.96944
1.348227;22.03766
1.350205;21.91986
1.352184;21.81143
1.354162;21.89231
1.35614;22.07897
1.358119;22.21316
1.360097;22.25786
1.362075;22.24295
1.364054;22.21592
1.366032;22.35421
1.36801;22.48454
1.369988;22.49812
1.371967;22.36649
1.373945;22.31363
1.375923;22.41676
1.377902;22.56396
1.37988;22.69643
1.381858;22.88345
1.383837;22.8303
1.385815;22.67764
1.387793;22.63506
1.389772;22.70845
1.39175;22.89186
1.393728;22.94742
1.395707;22.97723
1.397685;23.09668
1.399663;22.92741
1.401642;22.87927
1.40362;23.06152
1.405598;23.38953
1.407577;23.59455
1.409555;23.6057
1.411533;23.77193
1.413512;23.70449
1.41549;23.66908
1.417468;23.76041
1.419447;23.9136
1.421425;24.10894
1.423403;24.12631
1.425382;24.31289
1.42736;24.20782
1.429338;24.15895
1.431316;24.17345
1.433295;24.37081
1.435273;24.46675
1.437251;24.67144
1.43923;24.69221
1.441208;24.64579
1.443186;24.5199
1.445165;24.63178
1.447143;24.79768
1.449121;24.80319
1.4511;24.85028
1.453078;24.92318
1.455056;25.10365
1.457035;25.13548
1.459013;25.13763
1.460991;25.14193
1.46297;25.22386
1.464948;25.36436
1.466926;25.4831
1.468905;25.3029
1.470883;25.21594
1.472861;25.3287
1.47484;25.43314
1.476818;25.42586
1.478796;25.34704
1.480775;25.33205
1.482753;25.54724
1.484731;25.65253
1.48671;25.67433
1.488688;25.82965
1.490666;26.03877
1.492644;26.2626
1.494623;26.37178
1.496601;26.46036
1.498579;26.4331
1.500558;26.64047
1.502536;26.78452
1.504514;26.81615
1.506493;26.90349
1.508471;27.03022
1.510449;27.30651
1.512428;27.32301
1.514406;27.42749
1.516384;27.49645
1.518363;27.54562
1.520341;27.54199
1.522319;27.66429
1.524298;27.78013
1.526276;27.81548
1.528254;28.06884
1.530233;28.18318
1.532211;28.35706
1.534189;28.35728
1.536168;28.48563
1.538146;28.62079
1.540124;28.65155
1.542103;28.68802
1.544081;28.82895
1.546059;29.02172
1.548038;29.07937
1.550016;29.09532
1.551994;29.20642
1.553972;29.36259
1.555951;29.63739
1.557929;29.74511
1.559907;29.85416
1.561886;29.82938
1.563864;29.83441
1.565842;29.96369
1.567821;30.14115
1.569799;30.42235
1.571777;30.54969
1.573756;30.73857
1.575734;30.8268
1.577712;30.95826
1.579691;30.88606
1.581669;30.90797
1.583647;30.97622
1.585626;30.94656
1.587604;31.02213
1.589582;31.31499
1.591561;31.47643
1.593539;31.57161
1.595517;31.54715
1.597496;31.78199
1.599474;31.94405
1.601452;31.89558
1.603431;32.1416
1.605409;32.42389
1.607387;32.64339
1.609366;32.65358
1.611344;32.6542
1.613322;32.79907
1.615301;33.11666
1.617279;33.35289
1.619257;33.34411
1.621235;33.46162
1.623214;33.70475
1.625192;33.75489
1.62717;33.80796
1.629149;34.04985
1.631127;34.24562
1.633105;34.35822
1.635084;34.4692
1.637062;34.87463
1.63904;35.09926
1.641019;35.08941
1.642997;35.15353
1.644975;35.2649
1.646954;35.50142
1.648932;35.78991
1.65091;35.74576
1.652889;35.80531
1.654867;35.91344
1.656845;36.18821
1.658824;36.26039
1.660802;36.48438
1.66278;36.932
1.664759;37.29634
1.666737;37.59411
1.668715;37.59927
1.670694;37.60535
1.672672;37.61881
1.67465;37.81546
1.676629;37.92704
1.678607;38.18845
1.680585;38.51543
1.682563;38.88242
1.684542;38.94749
1.68652;38.98473
1.688498;39.03725
1.690477;39.47542
1.692455;39.97301
1.694433;40.25113
1.696412;40.41973
1.69839;40.33831
1.700368;40.4371
1.702347;40.42989
1.704325;40.72003
1.706303;40.88969
1.708282;41.03949
1.71026;41.24652
1.712238;41.64967
1.714217;41.82293
1.716195;42.08503
1.718173;42.05979
1.720152;42.38494
1.72213;42.51794
1.724108;42.69148
1.726087;42.72092
1.728065;42.88341
1.730043;42.85616
1.732022;42.89334
1.734;43.09972
1.735978;43.35868
1.737957;43.64018
1.739935;43.85242
1.741913;44.2575
1.743891;44.49883
1.74587;44.68564
1.747848;44.7379
1.749826;44.96433
1.751805;44.81545
1.753783;45.05067
1.755761;45.5054
1.75774;45.64444
1.759718;45.55403
1.761696;45.59774
1.763675;45.91138
1.765653;46.35791
1.767631;46.62101
1.76961;46.64255
1.771588;46.55717
1.773566;46.58394
1.775545;46.84012
1.777523;47.16469
1.779501;47.80153
1.78148;48.04896
1.783458;48.03279
1.785436;48.07998
1.787415;48.34162
1.789393;48.60485
1.791371;48.861
1.79335;49.10177
1.795328;49.47647
1.797306;49.78444
1.799285;50.13956
1.801263;50.27971
1.803241;50.13241
1.805219;50.10603
1.807198;50.49782
1.809176;50.99463
1.811154;51.1361
1.813133;51.20539
1.815111;51.22461
1.817089;51.35093
1.819068;51.78884
1.821046;52.18329
1.823024;52.54045
1.825003;52.53833
1.826981;52.46245
1.828959;52.58242
1.830938;52.96252
1.832916;53.12215
1.834894;53.33501
1.836873;53.35825
1.838851;53.4271
1.840829;53.65393
1.842808;53.92679
1.844786;54.34204
1.846764;54.60246
1.848743;54.72339
1.850721;54.7674
1.852699;55.1489
1.854678;55.37667
1.856656;55.43135
1.858634;55.38898
1.860613;55.81758
1.862591;56.13597
1.864569;55.97201
1.866547;55.89006
1.868526;56.3468
1.870504;56.67625
1.872482;56.79159
1.874461;57.06755
1.876439;57.29564
1.878417;57.38554
1.880396;57.78101
1.882374;58.00273
1.884352;57.92244
1.886331;57.65844
1.888309;57.70015
1.890287;57.83611
1.892266;58.19311
1.894244;58.64496
1.896222;59.02326
1.898201;59.27708
1.900179;59.62585
1.902157;59.62956
1.904136;59.29774
1.906114;59.61919
1.908092;60.10809
1.910071;60.16177
1.912049;59.87095
1.914027;59.9345
1.916006;60.27543
1.917984;60.45856
1.919962;60.70527
1.921941;60.92041
1.923919;61.05409
1.925897;61.02097
1.927875;60.93254
1.929854;60.87005
1.931832;61.04253
1.93381;61.32676
1.935789;61.42123
1.937767;61.15295
1.939745;61.27315
1.941724;61.52085
1.943702;61.67017
1.94568;61.77202
1.947659;61.73919
1.949637;61.94033
1.951615;61.9142
1.953594;61.93719
1.955572;61.88007
1.95755;62.05098
1.959529;62.19866
1.961507;62.51558
1.963485;62.58276
1.965464;62.52338
1.967442;62.24996
1.96942;62.29958
1.971399;62.22456
1.973377;62.35273
1.975355;62.37465
1.977334;62.56227
1.979312;62.62185
1.98129;62.7885
1.983269;62.59755
1.985247;62.24709
1.987225;62.36167
1.989203;62.70256
1.991182;62.87135
1.99316;62.84311
1.995138;62.59504
1.997117;62.28766
1.999095;62.18088
2.001073;62.70551
2.003052;63.12772
2.00503;62.92502
2.007008;62.75965
2.008987;63.11728
2.010965;63.34945
2.012943;62.85603
2.014922;62.21728
2.0169;62.41348
2.018878;62.72468
2.020857;62.95814
2.022835;62.8629
2.024813;63.01003
2.026792;63.31306
2.02877;63.08228
2.030748;62.74191
2.032727;62.58381
2.034705;62.45694
2.036683;62.38629
2.038662;62.38994
2.04064;62.4633
2.042618;62.61011
2.044597;62.445
2.046575;62.39468
2.048553;62.23373
2.050532;61.88906
2.05251;61.99102
2.054488;61.85836
2.056466;62.05492
2.058445;62.36328
2.060423;62.42954
2.062401;61.99097
2.06438;61.78546
2.066358;61.68563
2.068336;61.54279
2.070315;61.33284
2.072293;61.11652
2.074271;61.06849
2.07625;60.80996
2.078228;60.70692
2.080206;60.78388
2.082185;60.97061
2.084163;60.64645
2.086141;60.51158
2.08812;60.5347
2.090098;60.39411
2.092076;60.07894
2.094055;59.9665
2.096033;59.80782
2.098011;59.72949
2.09999;59.71692
2.101968;59.64508
2.103946;59.53609
2.105925;59.40228
2.107903;59.45221
2.109881;59.1726
2.11186;59.05003
2.113838;59.06252
2.115816;59.02288
2.117794;58.74493
2.119773;58.69839
2.121751;58.70618
2.123729;58.77758
2.125708;58.56885
2.127686;58.08104
2.129664;57.8389
2.131643;57.75959
2.133621;57.60096
2.135599;57.3213
2.137578;56.95291
2.139556;56.86893
2.141534;56.69678
2.143513;56.71147
2.145491;56.72367
2.147469;56.22341
2.149448;55.82947
2.151426;55.769
2.153404;55.41127
2.155383;55.09576
2.157361;54.83338
2.159339;54.78321
2.161318;54.41827
2.163296;54.07727
2.165274;53.73254
2.167253;53.78189
2.169231;53.86696
2.171209;53.82764
2.173188;53.45871
2.175166;53.16941
2.177144;53.06099
2.179122;52.96675
2.181101;52.64191
2.183079;52.36291
2.185057;51.92294
2.187036;51.72835
2.189014;51.56009
2.190992;51.32343
2.192971;50.92334
2.194949;50.7317
2.196927;50.54804
2.198906;50.20779
2.200884;50.0245
2.202862;50.17267
2.204841;50.05954
2.206819;49.52607
2.208797;49.13605
2.210776;48.94205
2.212754;48.74158
